FeatureCode,DateCode,Measurement,Units,Value,Distance to Nearest Green or Blue Space,Age,Gender,Urban Rural Classification,SIMD quintiles,Type Of Tenure,Household Type,Ethnicity
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.6,Don't Know,35-64 years,All,All,All,All,All,All
S92000003,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,1.7,Don't Know,All,All,All,All,All,Pensioners,All
S12000013,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,35-64 years,All,All,All,All,All,All
S12000041,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.6,Don't Know,All,Female,All,All,All,All,All
S12000028,2014,Percent,Percent Of Adults,73,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000014,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,35-64 years,All,All,All,All,All,All
S12000042,2018,Percent,Percent Of Adults,9,Don't Know,All,Female,All,All,All,All,All
S12000028,2014,Percent,Percent Of Adults,68,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,80,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.4,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000049,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.9,Don't Know,All,All,All,All,All,All,All
S12000019,2014,Percent,Percent Of Adults,0,Don't Know,All,All,All,All,All,All,All
S12000049,2014,Percent,Percent Of Adults,2,Don't Know,16-34 years,All,All,All,All,All,All
S92000003,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.0,Don't Know,16-34 years,All,All,All,All,All,All
S12000020,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,1.6,Don't Know,All,All,All,All,All,Adults,All
S12000026,2013,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,Pensioners,All
S92000003,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.8,Don't Know,All,All,All,All,All,Pensioners,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,56.2,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000026,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.9,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000042,2018,Percent,Percent Of Adults,4,Don't Know,All,Male,All,All,All,All,All
S12000023,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,93.0,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,85,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,56.2,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000050,2018,Percent,Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000014,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,65 years and over,All,All,All,All,All,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.3,A 5 minute walk or less,All,All,All,All,All,All,All
S92000003,2014,Percent,Percent Of Adults,1,Don't Know,All,All,All,All,All,With Children,All
S12000050,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,3.6,Don't Know,All,All,All,All,All,With Children,All
S92000003,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.3,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000013,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,Adults,All
S12000013,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.0,Don't Know,All,All,All,All,All,All,All
S12000050,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,Female,All,All,All,All,All
S12000013,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.5,Don't Know,All,All,All,All,All,All,All
S12000042,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,0,Don't Know,All,All,All,All,All,Adults,All
S12000029,2014,Percent,Percent Of Adults,66,A 5 minute walk or less,All,All,All,All,All,All,All
S12000023,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,40.6,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000028,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,73.5,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000042,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,9.5,Don't Know,All,All,All,All,All,Adults,All
S12000050,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,51.8,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000023,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.2,Don't Know,65 years and over,All,All,All,All,All,All
S12000013,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,2.1,Don't Know,65 years and over,All,All,All,All,All,All
