FeatureCode,DateCode,Measurement,Units,Value,Greenhouse gas source sector,Pollutant
S92000003,1995,Count,Mt Co2Equiv,3.401764434,Agriculture and Related Land Use,N2O
S92000003,1999,Count,Mt Co2Equiv,3.429993275,Agriculture and Related Land Use,N2O
S92000003,2012,Count,Mt Co2Equiv,2.661193273,Agriculture and Related Land Use,N2O
S92000003,2014,Count,Mt Co2Equiv,2.683604405,Agriculture and Related Land Use,N2O
S92000003,2006,Count,Mt Co2Equiv,0.14026667,Transport (excluding international aviation and shipping),N2O
S92000003,2008,Count,Mt Co2Equiv,0.120827302,Transport (excluding international aviation and shipping),N2O
S92000003,1990,Count,Mt Co2Equiv,0.070235703,Waste Management,N2O
S92000003,2009,Count,Mt Co2Equiv,0.097304038,Waste Management,N2O
S92000003,1998,Count,Mt Co2Equiv,3.457310792,Agriculture and Related Land Use,N2O
S92000003,2008,Count,Mt Co2Equiv,0.090894621,Waste Management,N2O
S92000003,2013,Count,Mt Co2Equiv,0.108615504,Waste Management,N2O
S92000003,1998,Count,Mt Co2Equiv,0.077161937,Waste Management,N2O
S92000003,2010,Count,Mt Co2Equiv,0.104323724,Waste Management,N2O
S92000003,2009,Count,Mt Co2Equiv,0.06751745,Business and Industrial Process,N2O
S92000003,2004,Count,Mt Co2Equiv,0.153023821,Transport (excluding international aviation and shipping),N2O
S92000003,2007,Count,Mt Co2Equiv,2.765731496,Agriculture and Related Land Use,N2O
S92000003,2003,Count,Mt Co2Equiv,0.160647543,Transport (excluding international aviation and shipping),N2O
S92000003,2007,Count,Mt Co2Equiv,0.069866774,Business and Industrial Process,N2O
S92000003,2002,Count,Mt Co2Equiv,0.17084614,Transport (excluding international aviation and shipping),N2O
S92000003,2007,Count,Mt Co2Equiv,0.138988686,Transport (excluding international aviation and shipping),N2O
S92000003,2011,Count,Mt Co2Equiv,0.067269957,Business and Industrial Process,N2O
S92000003,2002,Count,Mt Co2Equiv,0.081439999,Waste Management,N2O
S92000003,2005,Count,Mt Co2Equiv,0.148042827,Transport (excluding international aviation and shipping),N2O
S92000003,2009,Count,Mt Co2Equiv,0.11451146,Transport (excluding international aviation and shipping),N2O
S92000003,2004,Count,Mt Co2Equiv,0.081921494,Waste Management,N2O
S92000003,2013,Count,Mt Co2Equiv,2.681077948,Agriculture and Related Land Use,N2O
S92000003,1995,Count,Mt Co2Equiv,0.072503682,Waste Management,N2O
S92000003,2014,Count,Mt Co2Equiv,0.015586146,Residential,N2O
S92000003,2006,Count,Mt Co2Equiv,2.816389442,Agriculture and Related Land Use,N2O
S92000003,2004,Count,Mt Co2Equiv,3.038195956,Agriculture and Related Land Use,N2O
S92000003,2005,Count,Mt Co2Equiv,2.907391152,Agriculture and Related Land Use,N2O
S92000003,2012,Count,Mt Co2Equiv,0.016384346,Residential,N2O
S92000003,2006,Count,Mt Co2Equiv,0.013896354,Residential,N2O
S92000003,2009,Count,Mt Co2Equiv,2.736263228,Agriculture and Related Land Use,N2O
S92000003,2013,Count,Mt Co2Equiv,0.017127395,Residential,N2O
S92000003,2010,Count,Mt Co2Equiv,0.017357751,Residential,N2O
S92000003,2003,Count,Mt Co2Equiv,0.069505137,Business and Industrial Process,N2O
S92000003,2016,Count,Mt Co2Equiv,2.589729021,Agriculture and Related Land Use,N2O
S92000003,2011,Count,Mt Co2Equiv,0.111074884,Waste Management,N2O
S92000003,2001,Count,Mt Co2Equiv,3.261823439,Agriculture and Related Land Use,N2O
S92000003,2000,Count,Mt Co2Equiv,3.232345433,Agriculture and Related Land Use,N2O
S92000003,2000,Count,Mt Co2Equiv,0.080343323,Waste Management,N2O
S92000003,1990,Count,Mt Co2Equiv,3.258166874,Agriculture and Related Land Use,N2O
S92000003,1999,Count,Mt Co2Equiv,0.076305224,Waste Management,N2O
S92000003,2001,Count,Mt Co2Equiv,0.081217366,Waste Management,N2O
S92000003,2012,Count,Mt Co2Equiv,0.107357347,Waste Management,N2O
S92000003,2017,Count,Mt Co2Equiv,0.117111376,Waste Management,N2O
S92000003,2003,Count,Mt Co2Equiv,3.166407952,Agriculture and Related Land Use,N2O
S92000003,2002,Count,Mt Co2Equiv,3.190935961,Agriculture and Related Land Use,N2O
S92000003,2003,Count,Mt Co2Equiv,0.145239255,Development,N2O
S92000003,2003,Count,Mt Co2Equiv,0.104544624,Forestry,N2O
S92000003,2013,Count,Mt Co2Equiv,0.016089492,International Aviation and Shipping,N2O
S92000003,2005,Count,Mt Co2Equiv,0.001142466,Public Sector Buildings,N2O
S92000003,2008,Count,Mt Co2Equiv,9.30937E-4,Public Sector Buildings,N2O
S92000003,2014,Count,Mt Co2Equiv,0.017204113,International Aviation and Shipping,N2O
S92000003,2001,Count,Mt Co2Equiv,0.144184882,Development,N2O
S92000003,2016,Count,Mt Co2Equiv,0.068041388,Energy Supply,N2O
S92000003,2002,Count,Mt Co2Equiv,0.144365701,Development,N2O
S92000003,2004,Count,Mt Co2Equiv,0.146425754,Development,N2O
S92000003,2000,Count,Mt Co2Equiv,0.144606863,Development,N2O
S92000003,1998,Count,Mt Co2Equiv,0.118818143,Energy Supply,N2O
S92000003,2010,Count,Mt Co2Equiv,0.113044278,Energy Supply,N2O
S92000003,2005,Count,Mt Co2Equiv,0.101222486,Forestry,N2O
S92000003,2006,Count,Mt Co2Equiv,0.001024332,Public Sector Buildings,N2O
S92000003,2008,Count,Mt Co2Equiv,0.090821072,Forestry,N2O
S92000003,2008,Count,Mt Co2Equiv,0.103879793,Energy Supply,N2O
S92000003,2004,Count,Mt Co2Equiv,0.103083809,Forestry,N2O
S92000003,2013,Count,Mt Co2Equiv,0.096826637,Energy Supply,N2O
S92000003,2005,Count,Mt Co2Equiv,0.0697672,Business and Industrial Process,N2O
S92000003,1990,Count,Mt Co2Equiv,0.470416174,Business and Industrial Process,N2O
S92000003,2013,Count,Mt Co2Equiv,0.087646524,Forestry,N2O
S92000003,1998,Count,Mt Co2Equiv,0.00193589,Public Sector Buildings,N2O
S92000003,1995,Count,Mt Co2Equiv,0.002366876,Public Sector Buildings,N2O
S92000003,2000,Count,Mt Co2Equiv,0.184026668,Transport (excluding international aviation and shipping),N2O
S92000003,2014,Count,Mt Co2Equiv,0.11731706,Transport (excluding international aviation and shipping),N2O
S92000003,2017,Count,Mt Co2Equiv,2.576423232,Agriculture and Related Land Use,N2O
S92000003,2012,Count,Mt Co2Equiv,0.110464522,Transport (excluding international aviation and shipping),N2O
S92000003,2003,Count,Mt Co2Equiv,0.079033728,Waste Management,N2O
S92000003,2008,Count,Mt Co2Equiv,2.673527623,Agriculture and Related Land Use,N2O
S92000003,2001,Count,Mt Co2Equiv,0.171558578,Transport (excluding international aviation and shipping),N2O
S92000003,1999,Count,Mt Co2Equiv,0.193013742,Transport (excluding international aviation and shipping),N2O
S92000003,2014,Count,Mt Co2Equiv,0.110000752,Waste Management,N2O
S92000003,2011,Count,Mt Co2Equiv,0.109903375,Transport (excluding international aviation and shipping),N2O
S92000003,2016,Count,Mt Co2Equiv,0.114233547,Waste Management,N2O
