FeatureCode,GeoArea
S92000003,Scotland
S12000033,Aberdeen City
S12000034,Aberdeenshire
S12000041,Angus
S12000035,Argyll and Bute
S12000036,City of Edinburgh
S12000005,Clackmannanshire
S12000006,Dumfries and Galloway
S12000042,Dundee City
S12000008,East Ayrshire
S12000045,East Dunbartonshire
S12000010,East Lothian
S12000011,East Renfrewshire
S12000014,Falkirk
S12000047,Fife
S12000049,Glasgow City
S12000017,Highland
S12000018,Inverclyde
S12000019,Midlothian
S12000020,Moray
S12000013,Na h-Eileanan Siar
S12000021,North Ayrshire
S12000050,North Lanarkshire
S12000023,Orkney Islands
S12000048,Perth and Kinross
S12000038,Renfrewshire
S12000026,Scottish Borders
S12000027,Shetland Islands
S12000028,South Ayrshire
S12000029,South Lanarkshire
S12000030,Stirling
S12000039,West Dunbartonshire
S12000040,West Lothian
S16000074,Aberdeen Central
S16000075,Aberdeen Donside
S16000076,Aberdeen South and North Kincardine
S16000077,Aberdeenshire East
S16000078,Aberdeenshire West
S16000079,Airdrie and Shotts
S16000080,Almond Valley
S16000081,Angus North and Mearns
S16000082,Angus South
S16000083,Argyll and Bute
S16000084,Ayr
S16000085,Banffshire and Buchan Coast
S16000086,"Caithness, Sutherland and Ross"
S16000087,"Carrick, Cumnock and Doon Valley"
S16000088,Clackmannanshire and Dunblane
S16000089,Clydebank and Milngavie
S16000090,Clydesdale
S16000091,Coatbridge and Chryston
S16000092,Cowdenbeath
S16000093,Cumbernauld and Kilsyth
S16000094,Cunninghame North
S16000095,Cunninghame South
S16000096,Dumbarton
S16000097,Dumfriesshire
S16000098,Dundee City East
S16000099,Dundee City West
S16000100,Dunfermline
S16000101,East Kilbride
S16000102,East Lothian
S16000103,Eastwood
S16000104,Edinburgh Central
S16000105,Edinburgh Eastern
S16000106,Edinburgh Northern and Leith
S16000107,Edinburgh Pentlands
S16000108,Edinburgh Southern
S16000109,Edinburgh Western
S16000111,"Ettrick, Roxburgh and Berwickshire"
S16000112,Falkirk East
S16000113,Falkirk West
S16000114,Galloway and West Dumfries
S16000115,Glasgow Anniesland
S16000116,Glasgow Cathcart
S16000117,Glasgow Kelvin
S16000118,Glasgow Maryhill and Springburn
S16000119,Glasgow Pollok
S16000147,Glasgow Provan
S16000121,Glasgow Shettleston
S16000122,Glasgow Southside
S16000123,Greenock and Inverclyde
S16000124,"Hamilton, Larkhall and Stonehouse"
S16000125,Inverness and Nairn
S16000126,Kilmarnock and Irvine Valley
S16000127,Kirkcaldy
S16000128,Linlithgow
S16000129,Mid Fife and Glenrothes
S16000130,Midlothian North and Musselburgh
S16000131,"Midlothian South, Tweeddale and Lauderdale"
S16000132,Moray
S16000133,Motherwell and Wishaw
S16000110,Na h-Eileanan an Iar
S16000134,North East Fife
S16000135,Orkney Islands
S16000136,Paisley
S16000137,Perthshire North
S16000138,Perthshire South and Kinross-shire
S16000139,Renfrewshire North and West
S16000140,Renfrewshire South
S16000141,Rutherglen
S16000142,Shetland Islands
S16000143,"Skye, Lochaber and Badenoch"
S16000144,Stirling
S16000148,Strathkelvin and Bearsden
S16000146,Uddingston and Bellshill
S08000015,Ayrshire and Arran
S08000016,Borders
S08000017,Dumfries and Galloway
S08000029,Fife
S08000019,Forth Valley
S08000020,Grampian
S08000031,Greater Glasgow and Clyde
S08000022,Highland
S08000032,Lanarkshire
S08000024,Lothian
S08000025,Orkney
S08000026,Shetland
S08000030,Tayside
S08000028,Western Isles
S13002537,Abbey
S13002503,"Aboyne, Upper Deeside and Donside"
S13002715,"Abronhill, Kildrum and the Village"
S13002674,Aird and Loch Ness
S13002719,Airdrie Central
S13002718,Airdrie North
S13002722,Airdrie South
S13002486,Airyhall / Broomhill / Garthdee
S13002583,Almond
S13002746,Almond and Earn
S13002608,An Taobh Siar agus Nis
S13002650,Anderston / City
S13002544,Annandale East and Eskdale
S13002543,Annandale North
S13002542,Annandale South
S13002553,Annick
S13002514,Arbroath East and Lunan
S13002513,Arbroath West and Letham
S13002708,Ardrossan and Arran
S13002828,Armadale and Blackridge
S13002791,Avondale and Stonehouse
S13002782,Ayr East
S13002781,Ayr North
S13002783,Ayr West
S13002682,Badenoch and Strathspey
S13002660,Baillieston
S13002559,Ballochmyle
S13002504,Banchory and Mid Deeside
S13002489,Banff and District
S13002813,Bannockburn
S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas"
S13002578,Barrhead
S13002827,Bathgate
S13002563,Bearsden North
S13002564,Bearsden South
S13002601,Beinn na Foghla agus Uibhist a Tuath
S13002725,Bellshill
S13002566,Bishopbriggs North and Torrance
S13002833,Bishopbriggs South
S13002759,"Bishopton, Bridge of Weir & Langbank"
S13002671,Black Isle
S13002740,Blairgowrie and Glens
S13002801,Blantyre
S13002609,Bo'ness and Blackness
S13002613,Bonnybridge and Larbert
S13002691,Bonnyrigg
S13002802,Bothwell and Uddingston
S13002509,Brechin and Edzell
S13002477,Bridge of Don
S13002821,"Broxburn, Uphall and Winchburgh"
S13002640,"Buckhaven, Methil and Wemyss Villages"
S13002698,Buckie
S13002627,"Burntisland, Kinghorn and Western Kirkcaldy"
S13002582,"Busby, Clarkston and Eaglesham"
S13002649,Calton
S13002800,Cambuslang East
S13002799,Cambuslang West
S13002565,Campsie and Kirkintilloch North
S13002656,Canal
S13002673,Caol and Mallaig
S13002512,Carnoustie and District
S13002738,Carse of Gowrie
S13002612,"Carse, Kinnaird and Tryst"
S13002810,Castle
S13002536,Castle Douglas and Glenkens
S13002492,Central Buchan
S13002593,City Centre
S13002529,Clackmannanshire Central
S13002531,Clackmannanshire East
S13002528,Clackmannanshire North
S13002530,Clackmannanshire South
S13002527,Clackmannanshire West
S13002818,Clydebank Central
S13002819,Clydebank Waterfront
S13002789,Clydesdale East
S13002788,Clydesdale North
S13002790,Clydesdale South
S13002787,Clydesdale West
S13002717,Coatbridge North and Glenboig
S13002721,Coatbridge South
S13002720,Coatbridge West
S13002548,Coldside
S13002590,Colinton / Fairmilehead
S13002588,Corstorphine / Murrayfield
S13002521,Cowal
S13002625,Cowdenbeath
S13002596,Craigentinny / Duddingston
S13002644,Craigton
S13002668,Cromarty Firth
S13002679,Culloden and Ardersier
S13002713,Cumbernauld North
S13002714,Cumbernauld South
S13002560,Cumnock and New Cumnock
S13002638,Cupar
S13002692,Dalkeith
S13002709,Dalry and West Kilbride
S13002535,Dee
S13002611,Denny and Banknock
S13002670,Dingwall and Seaforth
